Id,FirstName,LastName,Phone,sex,HireDate,JobTitle,Salary,Commission,MgrId,DeptId
1001,Laurel,Mendoza,1-931-665-3116,F,12-Apr-14,Finance Manager,67324,0,1,1
1002,Erich,King,1-559-479-9202,M,17-Apr-14,Customer Service Rep,22328,2,6,5
1003,Stacey,Carney,1-554-930-9703,F,28-Mar-14,Tech Support,54524,0,3,4
1006,Gwendolyn,Mcmahon,1-688-710-3124,F,23-Sep-14,Tech Support,75017,0,4,4
1010,Zenaida,Mcdonald,1-297-102-4226,F,16-Jan-14,Accounting Manager,89107,0,8,1
1010,Andrew,Mckinney,1-820-174-1396,F,19-Jul-14,Accounting Manager,74212,0,1,1
1010,Jaquelyn,Snider,1-166-427-4633,M,31-Jan-14,Accounting Manager,20312,0,9,1
1013,Shea,Turner,1-408-913-8681,M,8-Jan-14,Accounting Manager,58110,0,4,1
1014,Andrew,Cameron,1-604-755-3855,M,27-Jul-14,Accounting Manager,86686,0,6,1
1015,Zahir,Kelley,1-196-108-0664,F,25-Aug-14,Accounting Manager,72181,0,5,1
1016,Quon,Calderon,1-843-331-9565,F,22-Jul-14,Asset Manager,95216,0,10,1
1018,Zenaida,Bender,1-910-458-8733,F,2-Sep-14,Human Resources Admin,61960,0,6,2
1018,Whoopi,Richardson,1-930-406-0371,F,3-Jun-14,Tech Support,22160,0,1,4
1019,Harrison,Cannon,1-108-593-4225,F,4-Apr-14,Advertising Manager,40946,5,2,3
1020,Kareem,Hays,1-103-505-7436,F,28-Apr-14,Advertising Manager,69489,5,9,3
1020,Yuli,Stevens,1-968-384-0986,M,25-Jul-14,Asset Manager,35939,0,6,1
1021,Elmo,Cardenas,1-448-978-6418,M,15-Feb-14,Tech Support,26383,0,8,4
1023,Kenneth,Burgess,1-373-135-5115,M,28-Jul-14,Customer Service Rep,92429,2,9,5
1024,Ross,Bullock,1-589-556-4422,F,18-Feb-14,Advertising Manager,70655,5,8,3
1025,Rina,Miles,1-673-989-3463,M,9-Feb-14,Human Resources Admin,33421,0,6,2
1025,Marcia,Morrow,1-272-684-3476,M,24-Feb-14,Asset Manager,44393,0,3,1
1025,Hayfa,Vargas,1-584-936-2335,F,18-Aug-14,Advertising Manager,34394,5,5,3
1026,Isaiah,England,1-815-323-9204,F,21-Jun-14,Customer Service Rep,29090,2,7,5
1027,Kareem,Dillon,1-282-413-0156,M,16-Aug-14,Human Resources Admin,90724,0,10,2
1028,Vivian,Mays,1-274-597-3906,M,12-Jul-14,Human Resources Admin,20883,0,2,2
1028,Zia,Preston,1-825-362-5133,M,27-May-14,Customer Service Rep,34158,2,2,5
1028,Courtney,Foster,1-986-145-2292,F,30-Jul-14,Tech Support,80160,0,9,4
1029,Jenna,Berg,1-868-711-2695,M,19-Jun-14,Tech Support,98116,0,2,4
1030,Eden,Chavez,1-799-379-1559,F,29-Sep-14,Advertising Manager,43609,5,1,3
1031,Marsden,Bowman,1-339-455-8584,F,28-Jan-14,Finance Manager,37417,0,1,1
1033,Jelani,England,1-383-399-1347,F,18-Mar-14,Asset Manager,78865,0,4,1
1033,Jolie,Villarreal,1-260-702-9476,F,11-May-14,Tech Support,99397,0,9,4
1033,Quyn,Kirkland,1-335-172-9251,M,15-Jun-14,Finance Manager,95678,0,9,1
1035,Patrick,Oneill,1-779-784-6104,F,23-Jul-14,Finance Manager,99211,0,9,1
1037,Kevyn,Swanson,1-120-867-5011,F,11-Sep-14,Finance Manager,91851,0,3,1
1038,Shelby,Knox,1-483-660-9676,M,11-Sep-14,Tech Support,46996,0,10,4
1039,Davis,Crosby,1-720-214-8696,F,29-May-14,Tech Support,35329,0,1,4
1041,Basil,Foreman,1-543-197-9202,F,3-Apr-14,Tech Support,67034,0,7,4
1041,Rigel,Bright,1-426-674-0022,F,13-Feb-14,Customer Service Rep,54488,2,10,5
1046,Holly,Sloan,1-372-241-1024,M,24-Jan-14,Human Resources Admin,25547,0,6,2
1046,Carissa,Wells,1-250-335-5208,F,22-Aug-14,Human Resources Admin,76041,0,10,2
1047,Chloe,Atkins,1-334-158-7174,M,25-May-14,Advertising Manager,53303,5,6,3
1047,Danielle,Woodard,1-936-625-1089,M,23-Apr-14,Tech Support,51323,0,6,4
1047,Lacy,Owen,1-798-182-5646,M,6-Sep-14,Human Resources Admin,86217,0,4,2
1050,John,Glover,1-145-135-6400,F,2-Jul-14,Accounting Manager,20470,0,3,1
1051,Ramona,Keller,1-190-769-2946,M,27-Jun-14,Asset Manager,49038,0,3,1
1052,Asher,Burks,1-807-377-8128,M,22-Apr-14,Accounting Manager,53779,0,3,1
1052,Marcia,Waller,1-746-451-4609,M,23-May-14,Advertising Manager,91809,5,10,4
1052,Zorita,Blankenship,1-190-651-6451,F,17-May-14,Finance Manager,55044,0,3,1
1052,Neville,Booker,1-104-408-2879,M,22-Jan-14,Finance Manager,57661,0,6,1
1053,Griffith,Hurley,1-661-456-8541,M,19-Feb-14,Human Resources Admin,58196,0,8,2
1053,Serina,Reid,1-155-903-6657,F,2-Jul-14,Asset Manager,35341,0,10,1
1055,Sybil,Rivas,1-717-630-1037,F,10-Apr-14,Advertising Manager,59585,5,5,3
1055,Benjamin,Knowles,1-915-656-9491,F,28-Aug-14,Finance Manager,57224,0,7,1
1056,Tallulah,Leach,1-499-467-0554,M,24-Aug-14,Accounting Manager,38005,0,1,1
1057,Barbara,Mann,1-432-801-2060,F,3-Sep-14,Advertising Manager,52226,5,8,3
1057,Jocelyn,Avery,1-428-511-5848,M,23-May-14,Tech Support,59001,0,6,4
1058,Oprah,Wolfe,1-180-140-8128,F,15-Feb-14,Finance Manager,67601,0,5,1
1058,Nadine,Stevenson,1-726-392-9713,M,27-Feb-14,Tech Support,69436,0,4,4
1060,Tanisha,Wallace,1-306-855-5758,F,25-Dec-13,Tech Support,31750,0,2,4
1060,Chloe,Lancaster,1-942-976-3674,M,23-Sep-14,Human Resources Admin,22804,0,10,2
1061,Neil,Holland,1-127-664-1838,M,16-Aug-14,Tech Support,54665,0,8,4
1063,Serena,Holland,1-702-925-6702,F,16-Aug-14,Human Resources Admin,98291,0,7,2
1065,Hayley,Thompson,1-923-741-8859,M,27-Aug-14,Customer Service Rep,46962,2,10,5
1065,Raja,Giles,1-668-101-0318,M,30-May-14,Finance Manager,94649,0,5,1
1066,Mercedes,Blankenship,1-965-263-2605,F,13-Feb-14,Asset Manager,87944,0,7,1
1066,Wynne,Pace,1-868-386-5461,F,7-Jan-14,Asset Manager,95912,0,6,1
1067,Melissa,Travis,1-591-502-7430,F,8-Aug-14,Asset Manager,26747,0,3,1
1068,Iona,Stafford,1-115-132-9335,F,20-Feb-14,Accounting Manager,77278,0,7,1
1069,Luke,Lyons,1-951-377-3520,F,14-Jan-14,Human Resources Admin,92540,0,10,2
1070,Damon,Cline,1-319-822-6655,F,2-May-14,Advertising Manager,21382,5,5,3
1073,Lenore,Wood,1-622-105-8659,F,6-Feb-14,Asset Manager,80799,0,1,1
1074,Risa,Pitts,1-180-177-8950,M,7-Jun-14,Human Resources Admin,52898,0,2,2
1074,Hyacinth,Holloway,1-844-741-3772,M,17-Feb-14,Finance Manager,91523,0,6,1
1076,Dillon,Farrell,1-546-578-7403,M,7-Aug-14,Accounting Manager,62658,0,5,1
1077,Cole,Gill,1-135-185-5817,M,6-Jan-14,Asset Manager,28448,0,3,1
1077,Hilda,Britt,1-762-725-6221,F,17-Aug-14,Finance Manager,66537,0,7,1
1079,Oprah,Bowman,1-793-516-0295,F,2-Jan-14,Customer Service Rep,73711,2,2,5
1081,Blake,Gamble,1-712-487-0707,M,6-Jan-14,Finance Manager,74454,0,8,1
1081,Hanae,Carey,1-788-551-7424,M,11-Sep-14,Human Resources Admin,33487,0,10,2
1085,Brian,Noel,1-332-744-7931,F,29-Jul-14,Accounting Manager,56843,0,7,1
1087,Jordan,Gross,1-692-230-4578,M,4-Sep-14,Accounting Manager,26473,0,5,1
1087,Asher,Heath,1-801-143-8732,F,30-Dec-13,Advertising Manager,48060,5,1,3
1087,Quinn,Shepard,1-389-859-4469,F,15-Mar-14,Advertising Manager,29991,5,6,3
1088,Chancellor,Branch,1-436-242-4372,F,27-Jun-14,Human Resources Admin,34319,0,2,2
1089,Pamela,Rutledge,1-295-402-2181,M,3-Sep-14,Accounting Manager,62450,0,3,1
1089,Len,Potter,1-949-149-7004,M,3-Jun-14,Accounting Manager,83398,0,1,1
1090,Kelly,Mueller,1-782-879-2326,M,12-May-14,Asset Manager,51276,0,3,1
1092,Christian,Silva,1-677-937-2661,F,10-May-14,Asset Manager,85950,0,4,1
1092,Kasimir,Wilder,1-250-101-8268,M,21-Apr-14,Human Resources Admin,79709,0,3,2
1092,Ayanna,Valdez,1-747-153-2324,F,10-May-14,Asset Manager,97386,0,8,1
1094,Jessica,Delacruz,1-470-371-6089,F,29-May-14,Human Resources Admin,84433,0,10,2
1094,Benedict,Gordon,1-187-958-9009,M,16-Mar-14,Accounting Manager,35930,0,1,1
1094,Hilel,Stein,1-685-477-4448,F,26-Jul-14,Tech Support,47520,0,6,4
1094,Rama,Terrell,1-128-910-0528,M,30-Mar-14,Asset Manager,25415,0,5,1
1096,Sawyer,Waters,1-352-713-7863,F,31-Aug-14,Finance Manager,45652,0,10,1
1096,Kasimir,Dixon,1-724-800-3725,F,17-Mar-14,Customer Service Rep,54989,2,1,5
1097,Candice,Barton,1-121-396-1979,M,20-Jan-14,Customer Service Rep,59462,2,5,5
1099,Kerry,Nichols,1-806-846-7880,M,18-Sep-14,Human Resources Admin,62887,0,8,2
1100,Slade,Ingram,1-647-246-1286,M,30-Jun-14,Asset Manager,69182,0,5,1
